LEX_FUNC,KEYWORD,VALUE,KEYWORD_lemma,VALUE_lemma
AntiBon,smell,foul,smell,foul
AntiBon,smell,offensive,smell,offensive
AntiBon,soft,mushy,soft,mushy
AntiBon,speak,speak,speak,speak
AntiBon,speak,stammer,speak,stammer
AntiBon,start,bumpy,start,bumpy
AntiBon,start,rocky,start,rocky
AntiBon,state,formal parlous,state,formal parlous
AntiBon,steak,tough,steak,tough
AntiBon,stubborn,bull-headed,stubborn,bull-headed
AntiBon,stubborn,pigheaded,stubborn,pigheaded
AntiBon,surprise,rude,surprise,rude
AntiBon,syntax,tortured,syntax,tortured
AntiBon,system,kludge,system,kludge
AntiBon,talk,babble,talk,babble
AntiBon,talk,prattle,talk,prattle
AntiBon,tease,presecute,tease,presecute
AntiBon,tease,taunt,tease,taunt
AntiBon,temper,bad,temper,bad
AntiBon,temper,mean,temper,mean
AntiBon,treatment,_raw deal_,treatment,_raw deal_
AntiBon,wages,paltry,wages,paltry
AntiBon,war,dirty,war,dirty
AntiBon,weather,filthy,weather,filthy
AntiBon,weather,foul,weather,foul
AntiBon,weather,rotten,weather,rotten
AntiBon,weather,sloppy,weather,sloppy
AntiBon,wet,soggy,wet,soggy
AntiBon,work,good,work,good
AntiBon,work,shoddy,work,shoddy
AntiBon,worker,botcher,worker,botcher
AntiBon,worker,bungler,worker,bungler
AntiBon,wound,festering,wound,festering
AntiBon2,activity,skulduggery,activity,skulduggery
AntiBon2,approach,_bear down_,approach,_bear down_
AntiBon2,bombardment,murderous,bombardment,murderous
AntiBon2,compliment,backhanded,compliment,backhanded
AntiBon2,compliment,doubtful,compliment,doubtful
AntiBon2,compliment,dubious,compliment,dubious
AntiBon2,compliment,left-handed,compliment,left-handed
AntiBon2,decision,bad,decision,bad
AntiBon2,effect,harmful,effect,harmful
AntiBon2,effect,negative,effect,negative
AntiBon2,foreboding,grim,foreboding,grim
AntiBon2,gossip,malicious,gossip,malicious
AntiBon2,gossip,sleazy,gossip,sleazy
AntiBon2,grin,develish,grin,develish
AntiBon2,grin,evil,grin,evil
AntiBon2,grin,hideous,grin,hideous
AntiBon2,grin,wolfish,grin,wolfish
AntiBon2,influence,bad,influence,bad
AntiBon2,influence,baleful,influence,baleful
AntiBon2,intelligent,crafty,intelligent,crafty
AntiBon2,intelligent,cunning,intelligent,cunning
AntiBon2,intention,evil,intention,evil
AntiBon2,intention,malign,intention,malign
AntiBon2,line,hard,line,hard
AntiBon2,line,tough,line,tough
AntiBon2,news,bad,news,bad
AntiBon2,news,disturbing,news,disturbing
AntiBon2,news,grim,news,grim
AntiBon2,news,worrisome,news,worrisome
AntiBon2,prognosis,grave,prognosis,grave
AntiBon2,prognosis,grim,prognosis,grim
AntiBon2,purpose,nefarious,purpose,nefarious
AntiBon2,question,embarrassing,question,embarrassing
AntiBon2,remark,digN,remark,digN
AntiBon2,remark,tauntN,remark,tauntN
AntiBon2,stance,hostile,stance,hostile
AntiBon2,stance,tough,stance,tough
AntiBon2,treat,_ride roughshod_,treat,_ride roughshod_
AntiBon2,treat,like dirt,treat,like dirt
AntiBon2,treat,severely,treat,severely
AntiBon2,word,harsh,word,harsh
AntiFact0,argument,collapses,argument,collapse
AntiFact0,attack,goes badly,attack,goes badly
AntiFact0,attempt,fails,attempt,fail
AntiFact0,attempt,flounders,attempt,flounder
AntiFact0,bill,fails,bill,fail
AntiFact0,brake,jams,brake,jam
AntiFact0,broadcasting station,is off the air,broadcasting station,is off the air
AntiFact0,car,skids,car,skid
AntiFact0,car,spins (around),car,spins (around)
AntiFact0,check,bounces,check,bounce
AntiFact0,condition,fails,condition,fail
AntiFact0,dream,crashes,dream,crash
AntiFact0,effort,fizzles,effort,fizzle_out
AntiFact0,effort,is in vain,effort,is in vain
AntiFact0,effort,proves futile,effort,proves futile
AntiFact0,faucet,runs,faucet,run
AntiFact0,firearm,jam,firearm,jam
AntiFact0,guest,outstays his welcome,guest,outstays his welcome
AntiFact0,hope,is scattered,hope,is scattered
AntiFact0,imagination,boggles,imagination,boggle
AntiFact0,joke,_falls flat_,joke,_falls flat_
AntiFact0,mine,cave inV,mine,cave inV
AntiFact0,mine,collapseV,mine,collapseV
AntiFact0,missile,go off track,missile,go off track
AntiFact0,plan,collapses,plan,collapse
AntiFact0,plan,fails,plan,fail
AntiFact0,plane,crashes,plane,crash
AntiFact0,plane,goes down,plane,goes down
AntiFact0,policy,collapses,policy,collapse
AntiFact0,scheme,crashes,scheme,crash
AntiFact0,ship,sinks,ship,sink
AntiFact0,shoestring,_come loose_,shoestring,_come loose_
AntiFact0,talks,_break down_,talk,_break down_
AntiFact0,talks,collapse,talk,collapse
AntiFact0,train,derails,train,derail
AntiFact0,train,jumps the track,train,jumps the track
AntiFact0,wound,heals,wound,heal
AntiMagn,accent,imperceptible,accent,imperceptible
AntiMagn,accent,slight,accent,slight
AntiMagn,acceptance,conditional,acceptance,conditional
AntiMagn,acceptance,qualified,acceptance,qualified
AntiMagn,account,general,account,general
AntiMagn,admiration,faint,admiration,faint
AntiMagn,admiration,lukewarm,admiration,lukewarm
AntiMagn,advantage,little,advantage,little
AntiMagn,advantage,slight,advantage,slight
AntiMagn,age,tender,age,tender
AntiMagn,age,young,age,young
AntiMagn,alcohol,weak (= weak alcoholic drink),alcohol,weak
AntiMagn,ally,wobbly,ally,wobbly
AntiMagn,analysis,crude,analysis,crude
AntiMagn,angry,miffed,angry,miffed
AntiMagn,angry,peeved,angry,peeved
AntiMagn,annoy,niggle,annoy,niggle
AntiMagn,apologize,perfunctorily,apologize,perfunctorily
AntiMagn,applause,faint,applause,faint
AntiMagn,applause,light,applause,light
AntiMagn,applause,polite,applause,polite
AntiMagn,applause,reluctant,applause,reluctant
AntiMagn,applause,scattered,applause,scattered
AntiMagn,applause,subdued,applause,subdued
AntiMagn,applause,thin,applause,thin
AntiMagn,approximation,crude,approximation,crude
AntiMagn,approximation,first,approximation,first
AntiMagn,approximation,gross,approximation,gross
AntiMagn,approximation,zero,approximation,zero
AntiMagn,argument,feeble,argument,feeble
AntiMagn,argument,flimsy,argument,flimsy
AntiMagn,argument,poor,argument,poor
AntiMagn,argument,shaky,argument,shaky
AntiMagn,argument,spurios,argument,spurios
AntiMagn,argument,tenuous,argument,tenuous
AntiMagn,argument,weak,argument,weak
AntiMagn,attention,little,attention,little
AntiMagn,attention,scant,attention,scant
AntiMagn,avert,narrowly,avert,narrowly
AntiMagn,balance,delicate,balance,delicate
AntiMagn,balance,fragile,balance,fragile
AntiMagn,basis,shaky,basis,shaky
AntiMagn,beard,wispy,beard,wispy
AntiMagn,beat,_by pin_,beat,_by pin_
AntiMagn,beer,weak,beer,weak
AntiMagn,blood pressure,low,blood pressure,low
AntiMagn,blow,dingN,blow,dingN
AntiMagn,border,porous,border,porous
AntiMagn,brown,buff,brown,buff
AntiMagn,budget,shoe-string,budget,shoe-string
AntiMagn,budget,low,budget,low
AntiMagn,burn,smolder,burn,smolder
AntiMagn,censorship,mild,censorship,mild
AntiMagn,chance,slight,chance,slight
AntiMagn,chance,slim,chance,slim
AntiMagn,chance,weak,chance,weak
AntiMagn,chances,poor,chances,poor
AntiMagn,chances,slim,chances,slim
AntiMagn,character,weak,character,weak
AntiMagn,chat,light,chat,light
AntiMagn,clad,scantily,clad,scantily
AntiMagn,classification,coarse,classification,coarse
AntiMagn,coat,light,coat,light
AntiMagn,coffee,weak,coffee,weak
AntiMagn,cold,slight,cold,slight
AntiMagn,color,dull,color,dull
AntiMagn,color,faded,color,faded
AntiMagn,color,light,color,light
AntiMagn,color,soft,color,soft
AntiMagn,color,subdued,color,subdued
AntiMagn,complain,gripeV,complain,gripeV
AntiMagn,complaint,gripe,complaint,gripe
AntiMagn,concentration,low,concentration,low
AntiMagn,condition,stable,condition,stable
AntiMagn,consolation,feeble,consolation,feeble
AntiMagn,cost,low,cost,low
AntiMagn,crazy,cockeyed,crazy,cockeyed
AntiMagn,crazy,dotty,crazy,dotty
AntiMagn,crazy,topsy-turvy,crazy,topsy-turvy
AntiMagn,crime,minor,crime,minor
AntiMagn,crime,petty,crime,petty
AntiMagn,damage,light,damage,light
AntiMagn,damage,little,damage,little
AntiMagn,damage,slight,damage,slight
AntiMagn,damage,lightly,damage,lightly
AntiMagn,decline,slight,decline,slight
AntiMagn,decline,slightly,decline,slightly
AntiMagn,deep,skin-~,deep,skin-~
AntiMagn,defeat,narrowly,defeat,narrowly
AntiMagn,degree,low,degree,low
AntiMagn,degree,small,degree,small
AntiMagn,different,slightly,different,slightly
AntiMagn,disabled,slightly,disabled,slightly
AntiMagn,distance,small,distance,small
AntiMagn,doubt,slight,doubt,slight
AntiMagn,doubt,slightly,doubt,slightly
AntiMagn,dress,light,dress,light
AntiMagn,dressed,_scantily clad_,dressed,_scantily clad_
AntiMagn,drunk,slightly,drunk,slightly
AntiMagn,drunk,tipsy,drunk,tipsy
AntiMagn,drunk,tipsy,drunk,tipsy
AntiMagn,eccentric,goofy,eccentric,goofy
AntiMagn,elected,narrowly,elected,narrowly
AntiMagn,error,insignificant,error,insignificant
AntiMagn,error,minor,error,minor
AntiMagn,esteem,low,esteem,low
AntiMagn,evidence,flimsy,evidence,flimsy
AntiMagn,evidence,scanty,evidence,scanty
AntiMagn,exceed,a little,exceed,a little
AntiMagn,fare,homely,fare,homely
AntiMagn,flow,slow,flow,slow
AntiMagn,flow,trickleN,flow,trickleN
AntiMagn,flow,weak,flow,weak
AntiMagn,flow,trickleV,flow,trickleV
AntiMagn,flurries,a few,flurries,a few
AntiMagn,flurries,lingering,flurries,lingering
AntiMagn,fog,patchy,fog,patchy
AntiMagn,fragment,morsel,fragment,morsel
AntiMagn,fragment,small,fragment,small
AntiMagn,fragment,snippet,fragment,snippet
AntiMagn,future,immediate,future,immediate
AntiMagn,future,near,future,near
AntiMagn,gains,small,gains,small
AntiMagn,gap,narrow,gap,narrow
AntiMagn,grind,coarse,grind,coarse
AntiMagn,growth,weak,growth,weak
AntiMagn,handshake,weak,handshake,weak
AntiMagn,hope,dubious,hope,dubious
AntiMagn,hope,faint,hope,faint
AntiMagn,hope,guarded,hope,guarded
AntiMagn,hope,modest,hope,modest
AntiMagn,hope,slender,hope,slender
AntiMagn,hope,slight,hope,slight
AntiMagn,hope,weak,hope,weak
AntiMagn,hope,faintly,hope,faintly
AntiMagn,illness,slight,illness,slight
AntiMagn,illustration,cursory,illustration,cursory
AntiMagn,importance,little,importance,little
AntiMagn,importance,minor,importance,minor
AntiMagn,importance,small,importance,small
AntiMagn,influence,insignificant,influence,insignificant
AntiMagn,influence,small,influence,small
AntiMagn,influence,weak,influence,weak
AntiMagn,injured,slightly,injured,slightly
AntiMagn,injury,light,injury,light
AntiMagn,injury,little,injury,little
AntiMagn,inspection,cursory,inspection,cursory
AntiMagn,kiss,lightly,kiss,lightly
AntiMagn,know,distantly,know,distantly
AntiMagn,laugh,giggle,laugh,giggle
AntiMagn,laugh,titter,laugh,titter
AntiMagn,laughter,muffled,laughter,muffled
AntiMagn,lead,narrow,lead,narrow
AntiMagn,level,low,level,low
AntiMagn,lie,fib,lie,fib
AntiMagn,lie,fibN,lie,fibN
AntiMagn,light,dim,light,dim
AntiMagn,light,faint,light,faint
AntiMagn,line,fine,line,fine
AntiMagn,living,meager,living,meager
AntiMagn,load,light,load,light
AntiMagn,majority,slight,majority,slight
AntiMagn,majority,thin,majority,thin
AntiMagn,malfunction,glitch,malfunction,glitch
AntiMagn,margin,razor-thin,margin,razor-thin
AntiMagn,margin,slim,margin,slim
AntiMagn,margin,thin,margin,thin
AntiMagn,meal,homely,meal,homely
AntiMagn,meal,modest,meal,modest
AntiMagn,medication,mild,medication,mild
AntiMagn,memories,short,memories,short
AntiMagn,memory,cloudy,memory,cloudy
AntiMagn,memory,fleeting,memory,fleeting
AntiMagn,miss,_by a hair’s breadth_,miss,_by a hair’s breadth_
AntiMagn,miss,narrowly,miss,narrowly
AntiMagn,mist,haze,mist,haze
AntiMagn,mistake,slipN,mistake,slipN
AntiMagn,mistake,small,mistake,small
AntiMagn,money,pittance,money,pittance
AntiMagn,move,crawl,move,crawl
AntiMagn,move,edge,move,edge
AntiMagn,move,inch,move,inch
AntiMagn,naked,scantily clad,naked,scantily clad
AntiMagn,nap,cat,nap,cat
AntiMagn,nap,light,nap,light
AntiMagn,nap,snoozeN,nap,snoozeN
AntiMagn,need,slight,need,slight
AntiMagn,neigh,whinny,neigh,whinny
AntiMagn,nerves,weak,nerves,weak
AntiMagn,noise,damped,noise,damped
AntiMagn,number,small,number,small
AntiMagn,open,slightly,open,slightly
AntiMagn,opposition,light,opposition,light
AntiMagn,overview,brief,overview,brief
AntiMagn,pack,light,pack,light
AntiMagn,part,_tip of an iceberg_,part,_tip of an iceberg_
AntiMagn,past,recent,past,recent
AntiMagn,pay,_not a red cent_,pay,_not a red cent_
AntiMagn,peace,fragile,peace,fragile
AntiMagn,peace,fragile,peace,fragile
AntiMagn,peace,precarious,peace,precarious
AntiMagn,personality,weak,personality,weak
AntiMagn,plastered,slightly,plastered,slightly
AntiMagn,pleasure,(very) little,pleasure,(very) little
AntiMagn,populated,sparsely,populated,sparsely
AntiMagn,portion,small,portion,small
AntiMagn,position,shaky,position,shaky
AntiMagn,possibility,remote,possibility,remote
AntiMagn,praise,faint,praise,faint
AntiMagn,pressure,low,pressure,low
AntiMagn,price,low,price,low
AntiMagn,progress,little,progress,little
AntiMagn,punishment,light,punishment,light
AntiMagn,punishment,mild,punishment,mild
AntiMagn,quality,low,quality,low
AntiMagn,quality,poor,quality,poor
AntiMagn,quantity,small,quantity,small
AntiMagn,quarrel,spatN,quarrel,spatN
AntiMagn,quarrel,tiffN,quarrel,tiffN
AntiMagn,rain,> light,rain,> light
AntiMagn,rain,moderate,rain,moderate
AntiMagn,rain,spit,rain,spit
AntiMagn,rain,drizzle,rain,drizzle
AntiMagn,rain,lightly,rain,lightly
AntiMagn,range,narrow,range,narrow
AntiMagn,rank,low,rank,low
AntiMagn,reaction,muted,reaction,muted
AntiMagn,read,_flip through_,read,_flip through_
AntiMagn,read,_leaf  through_,read,_leaf  through_
AntiMagn,read,in diagonal,read,in diagonal
AntiMagn,related,distantly,related,distantly
AntiMagn,relative,be something like thirty-second cousin,relative,be something like thirty-second cousin
AntiMagn,relative,distant,relative,distant
AntiMagn,relief,small,relief,small
AntiMagn,reproof,mild,reproof,mild
AntiMagn,requirement,light,requirement,light
AntiMagn,resemblance,little,resemblance,little
AntiMagn,resistance,light,resistance,light
AntiMagn,resistance,little,resistance,little
AntiMagn,respect,scant,respect,scant
AntiMagn,response,limp,response,limp
AntiMagn,response,muted,response,muted
AntiMagn,review,briefly,review,briefly
AntiMagn,role,small,role,small
AntiMagn,security,careless,security,careless
AntiMagn,security,lax,security,lax
AntiMagn,setback,slight,setback,slight
AntiMagn,shower,light,shower,light
AntiMagn,showers,scattered,showers,scattered
AntiMagn,size,small,size,small
AntiMagn,sketch,_in broad lines_,sketch,_in broad lines_
AntiMagn,sketch,roughly,sketch,roughly
AntiMagn,sleep,light,sleep,light
AntiMagn,sleep,doze,sleep,doze
AntiMagn,sleep,lightly,sleep,lightly
AntiMagn,sleep,snooze,sleep,snooze
AntiMagn,sleeper,light,sleeper,light
AntiMagn,smile,faint,smile,faint
AntiMagn,smile,small,smile,small
AntiMagn,smile,vague,smile,vague
AntiMagn,smoke,light,smoke,light
AntiMagn,smoker,occasional,smoker,occasional
AntiMagn,snow,flurries,snow,flurries
AntiMagn,snow,light,snow,light
AntiMagn,speed,low,speed,low
AntiMagn,standard,lax,standard,lax
AntiMagn,success,indifferent,success,indifferent
AntiMagn,success,little,success,little
AntiMagn,supply,short,supply,short
AntiMagn,taste,bad,taste,bad
AntiMagn,taste,questionable,taste,questionable
AntiMagn,taste,faint,taste,faint
AntiMagn,tea,weak,tea,weak
AntiMagn,temperature,chilly,temperature,chilly
AntiMagn,temperature,cool,temperature,cool
AntiMagn,temperature,frigid,temperature,frigid
AntiMagn,temperature,frigid,temperature,frigid
AntiMagn,temperature,low,temperature,low
AntiMagn,temperature,low,temperature,low
AntiMagn,theft,petty,theft,petty
AntiMagn,traffic,light,traffic,light
AntiMagn,treatment,incidental,treatment,incidental
AntiMagn,understand,poorly,understand,poorly
AntiMagn,variety,limited,variety,limited
AntiMagn,vary,slightly,vary,slightly
AntiMagn,victory,hairline,victory,hairline
AntiMagn,victory,narrow,victory,narrow
AntiMagn,violation,minor,violation,minor
AntiMagn,voice,faint,voice,faint
AntiMagn,warning,mild,warning,mild
AntiMagn,weak,_as a kitten_,weak,_as a kitten_
AntiMagn,welcome,cautious,welcome,cautious
AntiMagn,win,by a narrow margin,win,by a narrow margin
AntiMagn,win,narrowly,win,narrowly
AntiMagn,wind,breeze,wind,breeze
AntiMagn,wind,gentle,wind,gentle
AntiMagn,wind,light,wind,light
AntiMagn,wind,mild,wind,mild
AntiMagn,wound,> moderate,wound,> moderate
AntiMagn,wound,light,wound,light
AntiMagn,wound,scratch,wound,scratch
AntiMagn,wound,slight,wound,slight
AntiMagn,wound,superficial,wound,superficial
AntiMagn,wounded,lightly,wounded,lightly
AntiReal1,_red light_,drive,_red light_,drive
AntiReal1,_red light_,jump,_red light_,jump
AntiReal1,_red light_,run,_red light_,run
AntiReal1,ballot,spoil,ballot,spoil
AntiReal1,bet,loose,bet,loose
AntiReal1,bill,defeat,bill,defeat
AntiReal1,bill,_turn down_,bill,_turn down_
AntiReal1,bill,_vote down_,bill,_vote down_
AntiReal1,brake,release,brake,release
AntiReal1,case,lose,case,lose
AntiReal1,chance,blow,chance,blow
AntiReal1,chance,_let slip by_,chance,_let slip by_
AntiReal1,chance,loose,chance,loose
AntiReal1,chance,miss,chance,miss
AntiReal1,chance,_miss the boat_,chance,_miss the boat_
AntiReal1,chances,blow,chance,blow
AntiReal1,combat,lose,combat,lose
AntiReal1,confrontation,_back up_,confrontation,_back up_
AntiReal1,convention,defy,convention,defy
AntiReal1,convention,flout,convention,flout
AntiReal1,crisis,weather,crisis,weather
AntiReal1,debt,repudiate,debt,repudiate
AntiReal1,detective,lose,detective,lose
AntiReal1,duty,fail,duty,fail
AntiReal1,game,lose,game,lose
AntiReal1,hostility,overcome,hostility,overcome
AntiReal1,illness,beat,illness,beat
AntiReal1,illness,get over,illness,get over
AntiReal1,illness,recover,illness,recover
AntiReal1,illness,get well,illness,get well
AntiReal1,limits,pass,limit,pass
AntiReal1,line,crash,line,crash
AntiReal1,luggage,unpack,luggage,unpack
AntiReal1,meeting,stand up,meeting,stand up
AntiReal1,opinion,hold back,opinion,hold back
AntiReal1,opportunity,_let slip away_,opportunity,_let slip away_
AntiReal1,opportunity,miss,opportunity,miss
AntiReal1,opportunity,waste,opportunity,waste
AntiReal1,pattern,buck,pattern,buck
AntiReal1,plan,shelf,plan,shelf
AntiReal1,pledge,break,pledge,break
AntiReal1,principle,infringe,principle,infringe
AntiReal1,prisoner,release,prisoner,release
AntiReal1,promise,break,promise,break
AntiReal1,question,dodge,question,dodge
AntiReal1,queue,jump,queue,jump
AntiReal1,queue,queue-jump,queue,queue-jump
AntiReal1,race,lose,race,lose
AntiReal1,receiver,replace,receiver,replace
AntiReal1,right,waive,right,waive
AntiReal1,schedule,be far,schedule,be far
